Truth,MOS,MOS_Var,n_votes,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
3.35,3.1,2.322222222222223,10,4,5,2,5,2,4,4,1,3,1
4.55,4.4,0.26666666666666666,10,4,4,4,4,4,5,5,5,5,4
2.44,2.3,0.6777777777777777,10,2,1,2,4,3,2,2,2,3,2
3.35,3.8,0.6222222222222222,10,4,4,4,4,3,2,4,4,5,4
2.78,2.6,1.3777777777777775,10,2,5,2,3,1,3,2,2,4,2
2.59,2.3,1.5666666666666667,10,1,1,3,1,3,1,2,4,4,3
3.51,3.9,0.9888888888888889,10,5,5,4,3,4,4,2,3,4,5
2.49,1.8,0.4000000000000001,10,1,2,2,1,3,2,2,1,2,2
3.98,3.9,0.5444444444444444,10,4,5,5,4,3,3,3,4,4,4
1.57,1.6,0.48888888888888904,10,3,2,1,2,1,1,1,1,2,2
4.12,3.8,0.8444444444444444,10,5,3,3,2,4,4,4,5,4,4
2.08,2.1,0.5444444444444443,10,2,3,2,3,3,1,1,2,2,2
3.73,3.7,0.8999999999999999,10,4,2,4,3,3,4,4,5,5,3
1.34,1.2,0.1777777777777778,10,1,1,1,2,1,1,1,1,2,1
4.529999999999999,4.6,0.26666666666666666,10,4,5,5,5,4,5,4,5,5,4
1.54,1.4,0.2666666666666667,10,1,2,1,1,1,2,2,1,2,1
1.51,1.8,0.6222222222222223,10,3,2,2,1,2,3,2,1,1,1
2.92,2.8,0.8444444444444444,10,2,3,4,3,3,4,3,3,1,2
2.23,2.3,0.8999999999999999,10,2,4,3,2,2,2,1,1,3,3
1.15,1.1,0.1,10,1,1,1,1,1,1,1,1,2,1
3.56,3.8,0.8444444444444444,10,5,4,3,3,4,5,4,4,4,2
1.43,1.6,0.48888888888888904,10,1,1,3,1,2,2,2,1,2,1
3.61,4.1,0.5444444444444444,10,4,5,5,4,5,3,3,4,4,4
1.36,1.4,0.2666666666666667,10,2,2,1,1,1,1,2,2,1,1
4.68,4.3,1.1222222222222222,10,3,5,5,5,2,5,4,5,5,4
3.24,3.6,0.9333333333333333,10,4,4,3,3,3,3,5,4,5,2
2.54,2.8,1.0666666666666669,10,4,3,3,2,2,1,3,4,2,4
3.87,3.6,1.1555555555555557,10,2,4,3,4,2,4,5,3,4,5
2.13,1.9,0.5444444444444445,10,3,2,1,1,2,2,1,2,3,2
4.0,3.8,1.288888888888889,10,4,5,3,4,4,5,2,5,4,2
1.14,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
4.32,4.5,0.2777777777777778,10,4,5,5,5,4,4,5,5,4,4
3.39,3.3,1.5666666666666667,10,3,2,5,4,1,4,4,2,4,4
2.26,2.3,0.8999999999999999,10,3,2,1,2,2,1,3,4,3,2
2.0,2.3,0.6777777777777777,10,2,3,1,1,3,3,2,3,3,2
1.32,1.4,0.2666666666666667,10,2,1,1,2,2,1,1,1,1,2
4.03,4.1,0.7666666666666666,10,3,4,4,5,3,5,3,4,5,5
4.79,5.0,0.0,10,5,5,5,5,5,5,5,5,5,5
3.82,3.9,0.5444444444444445,10,4,4,3,3,4,5,4,4,3,5
4.7700000000000005,4.5,0.5,10,5,4,4,5,4,3,5,5,5,5
3.79,4.1,0.9888888888888889,10,4,4,5,5,5,3,2,4,5,4
4.62,4.5,0.5,10,5,5,5,5,4,3,5,5,4,4
3.31,2.8,0.8444444444444444,10,5,3,2,3,2,3,3,2,3,2
3.75,3.9,0.7666666666666666,10,3,5,5,4,3,4,4,5,3,3
2.76,3.1,0.7666666666666666,10,3,2,2,5,4,3,3,3,3,3
1.99,2.0,0.8888888888888888,10,1,4,2,1,2,2,2,1,3,2
3.68,3.9,0.5444444444444444,10,4,3,4,5,3,4,5,4,4,3
3.67,3.8,1.2888888888888888,10,4,2,5,4,4,4,5,3,5,2
2.91,2.9,1.4333333333333331,10,2,1,3,2,2,3,4,3,5,4
3.01,2.7,0.8999999999999999,10,2,4,4,1,3,3,2,3,3,2
3.47,3.2,1.0666666666666669,10,3,4,2,5,2,3,3,4,4,2
3.56,3.5,1.1666666666666667,10,5,3,5,4,4,3,3,2,2,4
2.47,2.5,0.9444444444444444,10,2,3,3,3,1,2,1,3,3,4
1.54,1.9,1.4333333333333336,10,1,5,1,1,2,2,2,2,2,1
4.33,4.5,0.5,10,5,4,5,4,5,4,5,3,5,5
4.03,4.0,0.6666666666666666,10,3,3,4,5,4,3,4,5,5,4
2.67,2.3,0.6777777777777777,10,2,2,1,3,3,3,2,1,3,3
1.69,1.5,0.2777777777777778,10,2,1,1,2,2,1,2,1,1,2
2.19,2.1,0.09999999999999999,10,2,3,2,2,2,2,2,2,2,2
1.45,1.3,0.45555555555555544,10,3,1,1,2,1,1,1,1,1,1
4.55,4.7,0.23333333333333334,10,5,5,4,4,5,5,5,4,5,5
4.51,4.5,0.5,10,4,5,3,5,5,4,5,5,5,4
3.89,4.3,0.6777777777777777,10,3,5,4,5,4,5,4,5,3,5
2.46,2.7,1.1222222222222222,10,4,4,3,2,1,4,3,2,2,2
1.3,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
1.2,1.2,0.1777777777777778,10,1,1,2,1,1,2,1,1,1,1
1.76,1.8,0.6222222222222222,10,2,2,1,1,2,1,1,3,3,2
4.220000000000001,4.2,0.39999999999999997,10,4,4,4,5,5,3,5,4,4,4
4.84,5.0,0.0,10,5,5,5,5,5,5,5,5,5,5
4.3100000000000005,4.2,0.8444444444444444,10,5,4,4,4,5,2,5,5,4,4
2.14,2.3,1.1222222222222222,10,3,3,2,3,1,4,3,1,2,1
1.69,2.0,0.6666666666666666,10,2,1,3,3,2,1,1,2,2,3
4.05,4.4,0.4888888888888888,10,3,4,5,4,5,5,4,4,5,5
2.9,3.4,0.48888888888888893,10,4,3,4,3,3,4,4,2,4,3
1.97,2.2,1.066666666666667,10,2,1,1,2,4,3,1,3,3,2
1.92,2.2,0.8444444444444444,10,4,2,1,3,2,2,2,3,2,1
3.24,3.1,0.9888888888888889,10,2,3,2,2,5,4,3,3,4,3
5.0,5.0,0.0,10,5,5,5,5,5,5,5,5,5,5
1.46,1.3,0.45555555555555544,10,1,1,3,1,1,2,1,1,1,1
1.43,1.2,0.17777777777777784,10,2,1,1,1,1,1,1,1,2,1
2.2,2.1,1.4333333333333333,10,1,2,3,1,4,4,2,1,1,2
2.88,2.8,1.5111111111111113,10,5,3,4,3,2,4,1,2,2,2
3.91,3.7,1.3444444444444443,10,2,3,4,4,3,5,2,4,5,5
1.74,1.4,0.2666666666666667,10,1,1,1,1,2,2,1,2,2,1
1.24,1.2,0.17777777777777784,10,1,1,2,2,1,1,1,1,1,1
3.45,3.8,1.5111111111111115,10,2,3,5,4,2,3,5,5,5,4
1.22,1.2,0.1777777777777778,10,1,1,1,1,1,2,1,2,1,1
2.29,2.4,0.7111111111111112,10,3,2,1,3,2,3,3,3,1,3
1.0699999999999998,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
3.97,4.0,0.4444444444444444,10,4,4,5,4,4,3,3,5,4,4
3.26,3.3,0.4555555555555555,10,2,3,3,4,4,3,3,4,3,4
1.66,1.4,0.48888888888888904,10,2,1,1,1,3,2,1,1,1,1
1.08,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
4.44,4.8,0.17777777777777773,10,5,5,4,4,5,5,5,5,5,5
2.46,2.5,0.9444444444444444,10,3,2,3,3,2,1,3,3,1,4
1.17,1.3,0.23333333333333334,10,1,1,1,2,2,1,1,1,2,1
4.66,4.7,0.23333333333333334,10,4,5,5,5,5,4,5,5,4,5
3.63,4.1,0.9888888888888889,10,5,5,5,5,3,3,3,5,3,4
2.85,3.0,1.1111111111111112,10,4,2,2,4,4,3,3,4,1,3
2.41,2.6,0.9333333333333336,10,3,2,2,2,4,3,2,4,3,1
2.88,2.9,0.7666666666666665,10,3,2,4,4,2,3,2,2,3,4
1.06,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
2.49,2.3,1.3444444444444443,10,2,4,2,2,1,3,1,3,4,1
1.21,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
2.43,2.9,1.2111111111111112,10,2,3,2,4,3,3,5,1,3,3
2.1,1.8,0.6222222222222223,10,1,2,2,1,1,2,1,3,2,3
1.23,1.2,0.1777777777777778,10,1,1,2,1,1,2,1,1,1,1
2.48,2.4,1.3777777777777775,10,5,1,3,3,2,2,2,1,3,2
1.08,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
3.72,3.9,0.7666666666666667,10,3,4,5,4,3,3,4,5,5,3
1.56,1.4,0.48888888888888893,10,1,1,1,2,1,1,2,3,1,1
1.93,1.7,0.6777777777777778,10,1,1,1,2,1,3,2,2,1,3
2.8,2.3,0.8999999999999999,10,2,1,2,2,3,3,3,4,1,2
2.83,2.5,1.3888888888888888,10,4,1,2,2,1,3,4,4,2,2
4.14,4.6,0.2666666666666667,10,5,4,5,4,4,5,5,5,4,5
4.25,4.4,0.4888888888888888,10,5,3,4,4,5,4,5,5,4,5
3.33,2.8,1.0666666666666667,10,3,4,3,4,3,2,2,4,2,1
3.59,3.4,0.9333333333333333,10,4,3,4,2,5,4,4,3,3,2
1.12,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
4.87,4.7,0.23333333333333334,10,4,5,5,5,4,5,5,4,5,5
1.92,1.9,1.4333333333333331,10,1,2,1,1,2,2,1,1,4,4
3.29,3.4,1.1555555555555557,10,5,3,5,2,4,3,3,4,2,3
1.61,1.6,0.2666666666666667,10,1,2,2,2,2,2,1,1,1,2
1.28,1.1,0.09999999999999999,10,1,1,1,1,1,2,1,1,1,1
1.73,1.7,0.8999999999999998,10,1,1,4,2,1,1,2,2,2,1
2.07,2.1,1.2111111111111112,10,4,3,2,1,1,1,3,2,1,3
1.63,1.7,0.6777777777777778,10,3,1,2,3,2,1,1,1,1,2
1.15,1.1,0.09999999999999999,10,1,1,1,1,2,1,1,1,1,1
1.84,1.6,0.2666666666666667,10,2,2,2,1,1,2,1,2,2,1
4.58,4.6,0.26666666666666666,10,4,5,4,5,4,5,5,4,5,5
3.22,3.2,1.2888888888888888,10,4,5,4,3,2,3,1,3,4,3
4.59,4.6,0.2666666666666667,10,5,5,4,4,4,5,5,5,5,4
1.44,1.6,0.48888888888888904,10,3,2,2,2,1,2,1,1,1,1
4.18,4.3,0.4555555555555555,10,4,4,5,4,5,5,4,4,3,5
1.29,1.2,0.1777777777777778,10,1,1,2,1,1,2,1,1,1,1
2.53,2.8,0.6222222222222222,10,2,2,3,2,3,2,4,3,4,3
4.16,4.2,0.39999999999999997,10,3,5,4,4,4,5,4,4,5,4
1.16,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
1.36,1.4,0.2666666666666667,10,2,1,2,1,1,1,2,2,1,1
4.3,4.2,0.8444444444444444,10,3,5,5,4,5,3,5,4,3,5
4.43,4.8,0.17777777777777773,10,5,5,4,4,5,5,5,5,5,5
4.96,4.9,0.09999999999999996,10,5,4,5,5,5,5,5,5,5,5
4.33,4.0,1.1111111111111112,10,5,2,5,5,4,4,3,5,4,3
2.06,1.6,0.7111111111111112,10,2,1,2,3,1,1,1,1,1,3
3.56,3.3,0.8999999999999999,10,3,2,5,2,4,3,4,4,3,3
4.74,5.0,0.0,10,5,5,5,5,5,5,5,5,5,5
1.93,2.2,1.0666666666666669,10,4,2,2,1,3,2,3,1,1,3
2.27,2.3,0.6777777777777777,10,3,2,3,2,3,2,3,3,1,1
4.15,4.0,0.6666666666666666,10,3,5,3,4,5,3,4,4,4,5
4.91,4.9,0.09999999999999998,10,5,5,5,5,5,4,5,5,5,5
3.86,3.8,0.8444444444444444,10,4,5,4,3,5,3,4,2,4,4
4.1,4.3,0.8999999999999999,10,3,5,4,3,5,5,5,3,5,5
3.73,3.6,0.7111111111111111,10,3,4,4,4,3,3,4,5,4,2
2.82,2.9,0.7666666666666665,10,3,2,3,2,4,4,2,2,3,4
4.66,4.8,0.17777777777777773,10,5,5,5,5,4,5,5,5,4,5
3.06,2.4,0.9333333333333333,10,3,4,2,3,1,1,2,3,2,3
4.29,4.2,1.0666666666666669,10,5,2,5,4,5,5,4,4,5,3
4.76,4.7,0.4555555555555555,10,5,5,4,5,5,5,5,3,5,5
2.7,2.4,1.155555555555556,10,2,3,1,3,2,2,1,2,4,4
2.0,2.0,1.1111111111111112,10,1,1,1,3,1,3,3,1,3,3
3.45,3.5,0.5,10,4,3,2,4,4,3,4,4,3,4
2.78,2.8,1.9555555555555557,10,4,2,4,5,3,1,1,2,2,4
3.59,3.8,0.6222222222222222,10,5,4,4,4,5,4,3,3,3,3
4.64,4.6,0.4888888888888887,10,5,3,5,5,5,5,4,5,5,4
1.1800000000000002,1.3,0.23333333333333334,10,1,2,2,1,1,1,1,1,1,2
1.15,1.3,0.23333333333333334,10,1,2,2,1,1,1,2,1,1,1
3.43,3.5,1.3888888888888888,10,1,5,3,5,3,4,4,4,3,3
3.51,4.0,0.6666666666666666,10,4,5,5,4,3,4,5,4,3,3
4.33,4.1,0.9888888888888887,10,2,4,4,5,4,5,3,4,5,5
2.12,1.9,0.5444444444444445,10,1,3,1,2,2,2,3,1,2,2
4.8,4.9,0.09999999999999998,10,5,5,5,4,5,5,5,5,5,5
3.94,3.9,0.3222222222222222,10,4,4,4,4,4,4,4,3,3,5
3.19,3.3,0.8999999999999999,10,3,5,2,4,3,3,4,2,3,4
2.54,2.8,1.066666666666667,10,4,2,2,1,4,2,3,3,4,3
1.3,1.4,0.2666666666666667,10,1,1,1,2,1,2,1,1,2,2
3.08,3.4,0.7111111111111112,10,3,3,3,4,5,2,3,4,4,3
3.26,3.5,1.3888888888888888,10,3,4,4,3,4,3,5,5,3,1
3.8,3.9,0.5444444444444444,10,5,3,4,4,3,5,4,4,4,3
4.1,4.0,0.6666666666666666,10,4,2,4,4,4,4,5,4,4,5
4.58,4.5,0.7222222222222222,10,5,5,5,3,3,5,4,5,5,5
4.51,4.5,0.5,10,5,4,5,5,4,5,3,4,5,5
1.06,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
4.1,4.1,0.9888888888888889,10,4,5,5,5,3,3,5,3,3,5
1.17,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
4.67,4.4,0.26666666666666666,10,4,5,4,4,4,5,4,5,4,5
3.9,4.5,0.5,10,5,5,4,5,4,5,4,3,5,5
1.49,1.5,0.2777777777777778,10,1,1,1,2,2,2,1,2,2,1
3.48,3.7,1.1222222222222222,10,5,4,2,3,4,5,4,2,4,4
4.12,4.1,0.9888888888888887,10,5,4,4,2,3,5,4,5,4,5
2.35,2.8,1.2888888888888892,10,5,3,2,2,4,1,3,3,2,3
4.19,4.2,0.39999999999999997,10,3,4,4,4,4,5,4,5,4,5
2.01,2.0,0.4444444444444444,10,2,2,3,2,1,1,2,3,2,2
4.73,4.5,0.5,10,4,5,4,5,5,4,5,5,3,5
3.57,3.7,1.3444444444444443,10,2,3,4,5,2,4,4,5,5,3
4.91,4.8,0.17777777777777773,10,5,5,5,4,5,5,4,5,5,5
2.71,3.0,1.7777777777777777,10,2,4,4,1,3,4,3,1,3,5
4.14,4.4,0.26666666666666666,10,4,5,4,4,5,5,4,4,4,5
1.83,2.0,0.6666666666666666,10,2,3,3,2,2,1,2,3,1,1
1.61,1.7,0.6777777777777778,10,2,2,2,1,3,1,3,1,1,1
3.25,2.6,1.3777777777777778,10,3,1,1,3,3,3,5,2,3,2
3.2,3.4,0.7111111111111112,10,2,4,3,3,3,3,3,5,4,4
1.51,1.7,0.6777777777777777,10,3,1,1,1,1,2,2,1,2,3
4.54,4.4,0.711111111111111,10,5,5,3,5,5,5,4,4,5,3
3.22,3.4,0.7111111111111112,10,3,3,3,5,3,4,4,4,2,3
3.09,3.0,1.3333333333333333,10,2,3,3,5,3,3,4,1,2,4
3.49,3.5,1.3888888888888888,10,4,3,4,2,4,1,4,4,5,4
1.44,1.8,1.066666666666667,10,1,2,4,1,1,2,3,2,1,1
1.95,1.9,0.7666666666666666,10,2,2,1,2,2,2,2,1,1,4
4.24,4.3,0.6777777777777777,10,5,4,3,4,5,3,5,5,4,5
3.56,3.5,0.7222222222222222,10,4,4,5,3,3,4,4,2,3,3
3.17,3.1,0.5444444444444445,10,4,4,3,2,3,4,3,2,3,3
2.7,2.4,0.7111111111111112,10,3,1,3,3,3,3,1,2,3,2
4.26,4.4,0.4888888888888888,10,5,4,5,4,5,3,5,5,4,4
2.59,2.2,0.8444444444444444,10,3,1,1,3,2,3,1,2,3,3
3.4,3.5,1.1666666666666667,10,2,3,4,4,3,5,5,4,3,2
3.39,3.1,0.5444444444444446,10,4,3,2,3,4,4,3,3,3,2
2.39,2.3,1.788888888888889,10,2,3,5,2,4,2,2,1,1,1
4.15,4.4,0.48888888888888893,10,5,4,5,5,5,4,4,3,4,5
2.44,2.6,0.7111111111111112,10,3,3,3,1,2,3,4,3,2,2
1.7,2.0,0.6666666666666666,10,3,2,2,2,2,1,1,3,3,1
2.67,3.0,1.5555555555555556,10,3,2,4,4,1,2,4,2,3,5
2.69,3.0,1.7777777777777777,10,3,5,3,2,4,4,1,4,3,1
1.97,2.4,1.822222222222222,10,1,2,2,3,3,5,1,1,2,4
4.14,4.2,0.8444444444444444,10,5,4,3,3,5,3,4,5,5,5
1.51,1.5,0.5,10,1,2,1,1,1,2,1,3,2,1
1.86,2.0,0.6666666666666666,10,1,3,1,3,2,2,1,3,2,2
1.33,1.5,0.5,10,2,1,2,3,1,1,1,1,2,1
4.2,4.1,0.09999999999999998,10,4,4,4,4,5,4,4,4,4,4
3.9,3.5,0.7222222222222222,10,3,4,3,4,3,2,4,4,3,5
4.68,4.8,0.17777777777777776,10,5,5,5,5,5,5,4,5,5,4
3.05,2.6,0.48888888888888893,10,3,2,3,3,2,3,1,3,3,3
3.83,3.9,0.3222222222222223,10,4,4,4,4,4,3,5,4,3,4
4.13,4.4,0.9333333333333333,10,5,5,5,4,4,2,5,5,4,5
4.07,4.4,0.2666666666666667,10,5,4,5,5,4,4,4,4,5,4
4.46,4.3,0.4555555555555555,10,4,4,4,5,5,3,4,4,5,5
4.8,4.7,0.23333333333333334,10,5,5,5,5,4,5,4,4,5,5
4.11,4.1,1.4333333333333331,10,5,4,2,5,5,5,5,4,2,4
3.82,4.1,0.5444444444444444,10,3,4,5,4,5,4,4,4,3,5
1.87,1.7,0.8999999999999998,10,1,1,4,2,1,2,1,2,1,2
3.52,3.2,0.8444444444444444,10,4,3,3,3,4,2,5,3,2,3
2.72,2.2,1.0666666666666667,10,1,1,2,2,1,2,3,3,3,4
4.79,5.0,0.0,10,5,5,5,5,5,5,5,5,5,5
1.96,1.8,0.4000000000000001,10,2,3,2,1,1,2,2,2,2,1
3.01,3.2,0.8444444444444444,10,3,3,3,2,2,3,4,5,3,4
1.54,1.6,0.2666666666666667,10,1,1,1,2,2,2,2,2,2,1
3.73,2.9,0.7666666666666668,10,2,3,4,4,3,3,3,3,3,1
4.48,4.6,0.26666666666666666,10,5,5,4,5,5,4,5,4,4,5
2.34,2.2,1.0666666666666667,10,4,1,3,1,3,2,2,3,1,2
3.78,4.0,0.6666666666666666,10,4,3,3,4,5,4,3,5,5,4
1.05,1.1,0.09999999999999999,10,1,1,1,1,1,1,2,1,1,1
4.85,5.0,0.0,10,5,5,5,5,5,5,5,5,5,5
3.27,3.1,0.9888888888888887,10,2,5,4,3,3,3,2,4,3,2
2.45,2.6,1.5999999999999999,10,2,3,2,1,5,3,2,4,3,1
4.86,4.8,0.17777777777777773,10,4,5,5,5,5,5,5,5,5,4
2.21,2.4,0.9333333333333333,10,1,4,2,3,3,2,2,1,3,3
1.99,1.9,0.9888888888888889,10,2,1,2,1,2,1,4,3,2,1
2.59,2.8,1.511111111111111,10,3,1,3,3,5,3,2,1,4,3
4.91,5.0,0.0,10,5,5,5,5,5,5,5,5,5,5
1.01,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
2.48,2.4,1.6,10,5,2,3,1,4,2,2,1,2,2
3.74,3.7,0.4555555555555555,10,4,3,4,3,4,4,5,4,3,3
4.17,4.2,0.6222222222222222,10,3,4,5,5,5,4,3,5,4,4
4.8100000000000005,4.7,0.4555555555555555,10,3,5,5,5,5,5,5,4,5,5
4.0,3.3,1.3444444444444443,10,2,2,3,4,2,3,5,4,3,5
4.58,4.4,0.4888888888888888,10,5,4,5,3,4,5,5,4,4,5
3.65,3.9,0.3222222222222224,10,3,5,4,4,4,4,3,4,4,4
4.14,4.1,0.7666666666666666,10,5,4,4,5,4,4,5,4,2,4
2.23,2.3,1.3444444444444443,10,2,1,4,1,2,1,4,3,3,2
3.75,3.9,0.5444444444444445,10,3,4,4,3,3,4,5,4,4,5
4.779999999999999,4.7,0.4555555555555555,10,5,4,5,3,5,5,5,5,5,5
3.43,3.6,1.1555555555555557,10,2,2,4,5,5,4,4,3,3,4
1.62,1.6,0.2666666666666667,10,2,2,2,2,2,1,1,2,1,1
2.91,3.8,0.39999999999999997,10,4,3,3,5,4,4,4,4,3,4
4.75,4.6,0.48888888888888893,10,5,5,5,5,5,4,5,5,4,3
2.18,1.9,0.5444444444444443,10,2,3,2,2,1,3,1,2,2,1
3.3600000000000003,3.6,1.3777777777777775,10,3,3,3,2,5,4,2,5,4,5
1.1800000000000002,1.2,0.17777777777777784,10,1,2,1,2,1,1,1,1,1,1
4.93,5.0,0.0,10,5,5,5,5,5,5,5,5,5,5
2.78,3.0,0.8888888888888888,10,3,2,5,3,3,3,3,2,2,4
3.71,3.5,1.1666666666666667,10,5,3,3,3,5,2,4,2,4,4
3.13,3.4,0.7111111111111112,10,3,3,2,4,3,5,4,3,4,3
4.91,4.5,0.2777777777777778,10,5,4,5,4,5,4,4,5,5,4
1.35,1.4,0.2666666666666667,10,2,1,1,1,1,2,1,1,2,2
2.39,2.1,1.4333333333333336,10,2,2,1,5,1,2,3,2,2,1
1.5,1.3,0.23333333333333334,10,2,1,2,1,2,1,1,1,1,1
1.95,2.2,1.288888888888889,10,4,2,2,2,1,1,1,3,2,4
1.87,1.7,0.4555555555555555,10,2,2,2,1,1,1,3,1,2,2
3.17,3.5,0.9444444444444444,10,3,3,2,5,5,3,4,4,3,3
2.47,2.4,0.48888888888888904,10,2,2,4,2,2,3,2,2,3,2
4.16,3.4,0.9333333333333336,10,4,4,2,4,3,3,4,2,5,3
2.94,2.9,1.6555555555555557,10,5,4,1,1,3,3,3,2,4,3
2.82,3.4,0.7111111111111114,10,5,4,4,3,4,3,3,3,3,2
1.55,1.6,0.48888888888888904,10,2,2,1,3,2,1,2,1,1,1
4.76,4.8,0.17777777777777773,10,4,5,4,5,5,5,5,5,5,5
4.08,4.1,0.7666666666666666,10,4,5,4,5,4,4,5,4,4,2
1.13,1.2,0.17777777777777784,10,1,2,1,1,1,1,1,1,1,2
3.43,3.5,0.9444444444444444,10,3,5,4,3,4,3,2,3,3,5
1.64,1.4,0.2666666666666667,10,2,1,2,2,1,1,1,1,2,1
4.44,4.2,0.8444444444444444,10,5,5,2,4,4,5,4,5,4,4
3.8,3.9,0.7666666666666665,10,4,3,3,3,3,5,4,5,5,4
4.62,4.7,0.23333333333333334,10,5,4,5,5,4,5,5,5,4,5
3.5,4.4,0.26666666666666666,10,4,4,4,4,4,5,5,5,4,5
4.279999999999999,4.7,0.23333333333333334,10,4,5,5,5,5,5,4,5,4,5
3.23,3.1,1.2111111111111112,10,2,2,5,4,2,3,2,4,4,3
1.76,1.6,0.2666666666666667,10,2,2,2,1,2,1,1,2,2,1
1.64,1.3,0.23333333333333334,10,2,1,2,1,1,1,1,1,1,2
4.9,4.8,0.17777777777777773,10,5,5,4,5,5,5,5,4,5,5
1.5,1.3,0.23333333333333334,10,2,1,2,1,2,1,1,1,1,1
1.53,1.4,0.2666666666666667,10,2,1,1,2,1,2,1,1,2,1
4.61,4.6,0.26666666666666666,10,5,4,5,4,4,5,4,5,5,5
4.42,4.5,0.5,10,4,5,3,5,5,5,4,5,4,5
4.11,4.2,0.39999999999999997,10,4,5,4,5,4,4,4,5,3,4
4.86,4.7,0.23333333333333334,10,4,4,5,5,5,5,5,5,4,5
3.43,3.2,1.0666666666666669,10,3,4,3,4,4,4,2,1,3,4
4.38,4.2,0.8444444444444444,10,5,3,5,5,5,3,4,3,5,4
2.99,2.5,0.7222222222222222,10,2,3,4,4,2,2,2,2,2,2
1.31,1.4,0.48888888888888915,10,1,3,1,1,1,1,2,2,1,1
3.78,3.9,0.5444444444444443,10,3,5,5,3,4,4,4,4,3,4
1.21,1.3,0.23333333333333334,10,1,2,1,2,2,1,1,1,1,1
4.32,4.2,0.39999999999999997,10,4,4,4,5,4,4,3,5,4,5
